Num,MSE
1036,0.195811
1037,0.195630
1038,0.195448
1039,0.195267
1040,0.195086
1041,0.194906
1042,0.194726
1043,0.194546
1044,0.194366
1045,0.194187
1046,0.194008
1047,0.193829
1048,0.193650
1049,0.193472
1050,0.193295
1051,0.193117
1052,0.192940
1053,0.192763
1054,0.192586
1055,0.192410
1056,0.192234
1057,0.192058
1058,0.191883
1059,0.191707
1060,0.191533
1061,0.191358
1062,0.191184
1063,0.191010
1064,0.190836
1065,0.190663
1066,0.190490
1067,0.190317
1068,0.190144
1069,0.189972
1070,0.189800
1071,0.189628
1072,0.189457
1073,0.189286
1074,0.189115
1075,0.188945
1076,0.188775
1077,0.188605
1078,0.188435
1079,0.188266
1080,0.188097
1081,0.187928
1082,0.187759
1083,0.187591
1084,0.187423
1085,0.187255
1086,0.187088
1087,0.186921
1088,0.186754
1089,0.186588
1090,0.186421
1091,0.186255
1092,0.186090
